ID,Date Time,Parent,Type,Object,Status,Message,Message(RAW)
6308,06-06-2024 14:54:58,Cisco 31108 @ Chennai-Egmore(172.16.13.1)(13.13.13.13),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
6965,06-06-2024 14:54:49,Cisco 9372PX @ STT-COMTEL MMR Rack-B4 (172.16.11.1)(11.11.11.11),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.07 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.07 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
6818,06-06-2024 14:54:40,CISCO-C3048TP-1GE @ STT-COMTEL Rack-L16 (172.16.11.11),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
2265,06-06-2024 14:54:40,Cisco 31108 @CDC-JP-101 (172.17.1.1) (1.1.1.129),Cisco IP SLA,Eth-1/45 IP-SLA CDC to BHANDUP (173.1.8.1) to (173.1.8.2),Down,"<div class=""logmessage"">6 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",6 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)
6297,06-06-2024 14:54:33,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.10 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.10 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
6308,06-06-2024 14:54:28,Cisco 31108 @ Chennai-Egmore(172.16.13.1)(13.13.13.13),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">1.87 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",1.87 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
6218,06-06-2024 14:54:22,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/54 IP-SLA CDC to NSE (172.1.3.1) to (172.1.3.2),Warning,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)
4273,06-06-2024 14:54:16,Cisco 31108 @ Chennai-Egmore(172.16.13.1)(13.13.13.13),SNMP Traffic 64bit,Eth-1/46 Traffic Chennai Egmore to Nextra Bharti Tower (OFC-Skylink-Primary)  to 172.16.13.11 Eth-1/46,Up,"<div class=""logmessage"">&lt; 0.01 Mbit/s<div class=""moreicon""></div></div>",< 0.01 Mbit/s
6930,06-06-2024 14:54:15,Cisco Nexus3064 @ Chennai-NEXTRA (172.16.13.11),SNMP Cisco System Health,System Health Other,Warning,"<div class=""logmessage"">-18,538 mdBm (Ethernet1/46(dBm)_26547 Rx Power) is below the warning limit of -18,230 mdBm in Ethernet1/46(dBm)_26547 Rx Power — -9,393 mdBm (Ethernet1/9(dBm)_25955Rx Power) is below the warning limit of -8,410 mdBm in Ethernet1/9(dBm)_25955Rx Power<div class=""moreicon""></div></div>","-18,538 mdBm (Ethernet1/46(dBm)_26547 Rx Power) is below the warning limit of -18,230 mdBm in Ethernet1/46(dBm)_26547 Rx Power — -9,393 mdBm (Ethernet1/9(dBm)_25955Rx Power) is below the warning limit of -8,410 mdBm in Ethernet1/9(dBm)_25955Rx Power"
6634,06-06-2024 14:54:15,Cisco 31108 @ BKC-MMR(172.16.3.4)(3.3.3.4),Cisco IP SLA,Eth-1/47 IP-SLA BKC TO CDC RCOM-5G,Up,"<div class=""logmessage"">3 msec<div class=""moreicon""></div></div>",3 msec
6818,06-06-2024 14:54:10,CISCO-C3048TP-1GE @ STT-COMTEL Rack-L16 (172.16.11.11),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
7032,06-06-2024 14:54:09,Cisco Nexus 3064 @ BKC-H-10(172.16.3.3),SNMP Cisco System Health,System Health Other,Warning,"<div class=""logmessage"">-3,979 mdBm (Ethernet1/36(dBm)  Tx Power) is above the warning limit of -4,000 mdBm in Ethernet1/36(dBm)  Tx Power<div class=""moreicon""></div></div>","-3,979 mdBm (Ethernet1/36(dBm)  Tx Power) is above the warning limit of -4,000 mdBm in Ethernet1/36(dBm)  Tx Power"
4273,06-06-2024 14:54:01,Cisco 31108 @ Chennai-Egmore(172.16.13.1)(13.13.13.13),SNMP Traffic 64bit,Eth-1/46 Traffic Chennai Egmore to Nextra Bharti Tower (OFC-Skylink-Primary)  to 172.16.13.11 Eth-1/46,Warning,"<div class=""logmessage"">No response (check: firewalls, routing, SNMP settings, IP addresses, SNMP version, community, passwords, etc) (SNMP error # -2003)<div class=""moreicon""></div></div>","No response (check: firewalls, routing, SNMP settings, IP addresses, SNMP version, community, passwords, etc) (SNMP error # -2003)"
6633,06-06-2024 14:54:00,Cisco 31108 @ Chennai-Egmore(172.16.13.1)(13.13.13.13),Cisco IP SLA,Eth-1/40 IP SLA CHENNAI EGMORE to MAHALAXMI (OFC-Railtel-Primary)  to 172.16.12.1 Eth-1/44,Down,"<div class=""logmessage"">23 msec (Avg. Round Trip Time (RTT)) is above the error limit of 16 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",23 msec (Avg. Round Trip Time (RTT)) is above the error limit of 16 msec in Avg. Round Trip Time (RTT)
6930,06-06-2024 14:54:00,Cisco Nexus3064 @ Chennai-NEXTRA (172.16.13.11),SNMP Cisco System Health,System Health Other,Down,"<div class=""logmessage"">0 mdBm (Ethernet1/46(dBm)_26547 Rx Power) is above the error limit of -1,001 mdBm in Ethernet1/46(dBm)_26547 Rx Power (The queries for the following channel IDs returned no data: 2,3,4,5,6,7,8,9,10,11 (code: PE269))<div class=""moreicon""></div></div>","0 mdBm (Ethernet1/46(dBm)_26547 Rx Power) is above the error limit of -1,001 mdBm in Ethernet1/46(dBm)_26547 Rx Power (The queries for the following channel IDs returned no data: 2,3,4,5,6,7,8,9,10,11 (code: PE269))"
6965,06-06-2024 14:53:49,Cisco 9372PX @ STT-COMTEL MMR Rack-B4 (172.16.11.1)(11.11.11.11),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
2265,06-06-2024 14:53:40,Cisco 31108 @CDC-JP-101 (172.17.1.1) (1.1.1.129),Cisco IP SLA,Eth-1/45 IP-SLA CDC to BHANDUP (173.1.8.1) to (173.1.8.2),Warning,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)
6303,06-06-2024 14:53:39,Huawei S5701 @ STT-GIF(172.16.8.12),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
6965,06-06-2024 14:53:19,Cisco 9372PX @ STT-COMTEL MMR Rack-B4 (172.16.11.1)(11.11.11.11),Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.07 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.07 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
6634,06-06-2024 14:53:15,Cisco 31108 @ BKC-MMR(172.16.3.4)(3.3.3.4),Cisco IP SLA,Eth-1/47 IP-SLA BKC TO CDC RCOM-5G,Warning,"<div class=""logmessage"">7 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 6 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",7 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 6 msec in Avg. Round Trip Time (RTT)
6965,06-06-2024 14:52:49,Cisco 9372PX @ STT-COMTEL MMR Rack-B4 (172.16.11.1)(11.11.11.11),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.07 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.07 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
2265,06-06-2024 14:52:40,Cisco 31108 @CDC-JP-101 (172.17.1.1) (1.1.1.129),Cisco IP SLA,Eth-1/45 IP-SLA CDC to BHANDUP (173.1.8.1) to (173.1.8.2),Down,"<div class=""logmessage"">6 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>",6 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)
6303,06-06-2024 14:52:39,Huawei S5701 @ STT-GIF(172.16.8.12),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
6255,06-06-2024 14:52:27,HUAWEI S5720 @CDC-JP-105 (172.16.1.13),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
6818,06-06-2024 14:52:10,CISCO-C3048TP-1GE @ STT-COMTEL Rack-L16 (172.16.11.11),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
6255,06-06-2024 14:51:57,HUAWEI S5720 @CDC-JP-105 (172.16.1.13),Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
6285,06-06-2024 14:51:51,Huawei S6720 @ BSE-NM (172.16.5.2),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
6271,06-06-2024 14:51:44,Huawei S6720 @NSE-PHASE-6 (172.16.4.61),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
6818,06-06-2024 14:51:40,CISCO-C3048TP-1GE @ STT-COMTEL Rack-L16 (172.16.11.11),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
6297,06-06-2024 14:51:33,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
