ID,Date Time,Parent,Type,Object,Status,Message
3824,03-06-2024 14:17:45,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/52 IP-SLA CDC to BKC (172.1.1.1) to (172.1.1.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
2204,03-06-2024 14:17:42,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/38 IP_SLA CDC to CDC (172.1.4.1) to (172.1.4.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
5602,03-06-2024 14:17:37,Cisco 31108 @ CMMR (172.16.8.2)(8.8.8.2),Cisco IP SLA,Eth1/36 IP-SLA CMMR to BKC (172.1.5.1) to (172.1.5.2),Up,"<div class=""logmessage"">10 msec<div class=""moreicon""></div></div>"
6259,03-06-2024 14:17:12,Huawei S6720 @NSE-PHASE-4 (172.16.4.2),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.10 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>"
5602,03-06-2024 14:17:07,Cisco 31108 @ CMMR (172.16.8.2)(8.8.8.2),Cisco IP SLA,Eth1/36 IP-SLA CMMR to BKC (172.1.5.1) to (172.1.5.2),Down,"<div class=""logmessage"">393 msec (Avg. Round Trip Time (RTT)) is above the error limit of 15 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
5595,03-06-2024 14:16:56,Cisco 31108 @ KALWA PGCL(172.16.14.1)(14.14.14.1),Cisco IP SLA,Eth1/48 IP-SLA KALWA to BHANDUP (172.14.5.1) to (172.14.5.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
3824,03-06-2024 14:16:45,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/52 IP-SLA CDC to BKC (172.1.1.1) to (172.1.1.2),Down,"<div class=""logmessage"">172 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
2204,03-06-2024 14:16:42,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/38 IP_SLA CDC to CDC (172.1.4.1) to (172.1.4.2),Down,"<div class=""logmessage"">230 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6259,03-06-2024 14:16:42,Huawei S6720 @NSE-PHASE-4 (172.16.4.2),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
6297,03-06-2024 14:16:33,CISCO ME-3600X @ BKC-MSEI 172.16.3.31,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
5595,03-06-2024 14:16:26,Cisco 31108 @ KALWA PGCL(172.16.14.1)(14.14.14.1),Cisco IP SLA,Eth1/48 IP-SLA KALWA to BHANDUP (172.14.5.1) to (172.14.5.2),Warning,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
