ID,Date Time,Parent,Type,Object,Status,Message,Message(RAW)
16890,03-06-2024 21:00:24,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
16890,03-06-2024 20:59:24,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
17541,03-06-2024 20:58:35,IIFL-12-16 (10.20.12.16),Ping,Ping,Up,"<div class=""logmessage"">0 msec<div class=""moreicon""></div></div>",0 msec
17541,03-06-2024 20:58:34,IIFL-12-16 (10.20.12.16),Ping,Ping,Down,"<div class=""logmessage"">29 msec (Ping Time) is above the error limit of 4 msec in Ping Time<div class=""moreicon""></div></div>",29 msec (Ping Time) is above the error limit of 4 msec in Ping Time
16890,03-06-2024 20:55:24,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
16890,03-06-2024 20:54:24,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
16890,03-06-2024 20:50:24,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
16890,03-06-2024 20:49:24,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
17292,03-06-2024 20:47:37,MT-TP-101.226,SNMP Traffic 64bit,BULLFORCE_SECONDARY_VLAN325_vrrp35_103.177.180.200/29,Up,"<div class=""logmessage"">0.31 Mbit/s<div class=""moreicon""></div></div>",0.31 Mbit/s
17292,03-06-2024 20:47:27,MT-TP-101.226,SNMP Traffic 64bit,BULLFORCE_SECONDARY_VLAN325_vrrp35_103.177.180.200/29,Warning,"<div class=""logmessage"">7.06 Mbit/s (Traffic Total) is above the warning limit of 7 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",7.06 Mbit/s (Traffic Total) is above the warning limit of 7 Mbit/s in Traffic Total
