ID,Date Time,Parent,Type,Object,Status,Message,Message(RAW)
7940,03-06-2024 04:37:05,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Up,"<div class=""logmessage"">2.10 Mbit/s<div class=""moreicon""></div></div>",2.10 Mbit/s
12577,03-06-2024 04:36:58,10.111.103.101,SNMP Traffic 64bit,LAN (10.111.103.101) Traffic,Up,"<div class=""logmessage"">42 Mbit/s<div class=""moreicon""></div></div>",42 Mbit/s
9597,03-06-2024 04:36:46,{SFT-CAAS-10-250} (192.168.10.250)(SECONDARY_LAN_SW)[C1000-48T-4X-L] @Rack_SFT_AB18,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
7940,03-06-2024 04:36:35,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Warning,"<div class=""logmessage"">1.91 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.91 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
6576,03-06-2024 04:36:33,{cust-gc-10-111-11-212} (10.111.11.212) [Cisco-Nexus 3064 Chassis] @Rack_D03,SNMP Traffic 64bit,(436391936) UPLINK_TO_192.168.100.252_Gi1/0/42 Traffic,Up,"<div class=""logmessage"">456 Mbit/s<div class=""moreicon""></div></div>",456 Mbit/s
12349,03-06-2024 04:36:27,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
10108,03-06-2024 04:36:26,{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],SNMP Traffic 64bit,TCL_BGP: 14.143.129.180 Port:SFP+_01 (Bandwidth - 1 Gbps) [192.168.101.147_SFP+_16],Warning,"<div class=""logmessage"">1.03 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.03 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
10109,03-06-2024 04:36:11,{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],SNMP Traffic 64bit,Airtel-182.78.48.12 SFP+_02 _to_ 192.168.101.24x_Eth-?,Up,"<div class=""logmessage"">2.05 Mbit/s<div class=""moreicon""></div></div>",2.05 Mbit/s
12577,03-06-2024 04:35:58,10.111.103.101,SNMP Traffic 64bit,LAN (10.111.103.101) Traffic,Down,"<div class=""logmessage"">931 Mbit/s (Traffic Total) is above the error limit of 800 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",931 Mbit/s (Traffic Total) is above the error limit of 800 Mbit/s in Traffic Total
7940,03-06-2024 04:35:55,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Up,"<div class=""logmessage"">2.04 Mbit/s<div class=""moreicon""></div></div>",2.04 Mbit/s
7940,03-06-2024 04:35:45,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Warning,"<div class=""logmessage"">1.84 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.84 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
7940,03-06-2024 04:35:35,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Up,"<div class=""logmessage"">2.12 Mbit/s<div class=""moreicon""></div></div>",2.12 Mbit/s
6576,03-06-2024 04:35:33,{cust-gc-10-111-11-212} (10.111.11.212) [Cisco-Nexus 3064 Chassis] @Rack_D03,SNMP Traffic 64bit,(436391936) UPLINK_TO_192.168.100.252_Gi1/0/42 Traffic,Down,"<div class=""logmessage"">1,032 Mbit/s (Traffic Total) is above the error limit of 800 Mbit/s in Traffic Total<div class=""moreicon""></div></div>","1,032 Mbit/s (Traffic Total) is above the error limit of 800 Mbit/s in Traffic Total"
12355,03-06-2024 04:35:17,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
7940,03-06-2024 04:35:15,"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",SNMP Traffic 64bit,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],Warning,"<div class=""logmessage"">1.91 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total<div class=""moreicon""></div></div>",1.91 Mbit/s (Traffic Total) is below the warning limit of 2 Mbit/s in Traffic Total
